model,metric,M,ef_construction,ef_search,build_time_s,latency_ms,recall@1,recall@5,recall@10,mrr
scibert,cosine,8,100,50,8.103,0.1088,0.952,0.9664,0.9522,0.952
scibert,cosine,8,200,50,12.599,0.0975,0.952,0.9742,0.9623,0.952
scibert,cosine,8,400,50,20.507,0.0903,0.961,0.9796,0.9657,0.961
scibert,cosine,16,100,50,9.494,0.1448,0.996,0.9944,0.9888,0.996
scibert,cosine,16,200,50,18.632,0.1593,0.998,0.9958,0.9913,0.998
scibert,cosine,16,400,50,29.303,0.1616,0.999,0.9982,0.9935,0.999
scibert,cosine,32,100,50,14.911,0.4592,0.999,0.9972,0.993,0.999
scibert,cosine,32,200,50,21.971,0.2178,1.0,0.9984,0.9968,1.0
scibert,cosine,32,400,50,43.882,0.3269,1.0,0.9994,0.998,1.0
scibert,l2,8,100,50,8.086,0.0931,0.953,0.9664,0.9531,0.953
scibert,l2,8,200,50,12.077,0.1046,0.956,0.9762,0.9641,0.956
scibert,l2,8,400,50,21.177,0.0984,0.974,0.9816,0.9686,0.974
scibert,l2,16,100,50,10.16,0.1515,0.997,0.9954,0.9886,0.997
scibert,l2,16,200,50,17.112,0.1655,0.998,0.9952,0.9915,0.998
scibert,l2,16,400,50,32.161,0.1667,0.999,0.9978,0.9934,0.999
scibert,l2,32,100,50,12.503,0.3388,0.999,0.9978,0.9938,0.999
scibert,l2,32,200,50,23.306,0.2207,1.0,0.998,0.9963,1.0
scibert,l2,32,400,50,39.04,0.2469,1.0,0.999,0.9976,1.0
e5,cosine,8,100,50,9.651,0.1282,0.982,0.9674,0.9468,0.982
e5,cosine,8,200,50,16.892,0.1248,0.987,0.9756,0.9559,0.987
e5,cosine,8,400,50,33.651,0.126,0.991,0.9794,0.9599,0.991
e5,cosine,16,100,50,15.176,0.2483,1.0,0.9934,0.9837,1.0
e5,cosine,16,200,50,30.613,0.2603,1.0,0.9954,0.9858,1.0
e5,cosine,16,400,50,52.467,0.308,1.0,0.996,0.9868,1.0
e5,cosine,32,100,50,25.927,0.548,1.0,0.9972,0.9922,1.0
e5,cosine,32,200,50,64.162,0.6993,1.0,0.9976,0.9932,1.0
e5,cosine,32,400,50,67.543,0.3982,0.999,0.9974,0.9946,0.999
e5,l2,8,100,50,9.204,0.1232,0.981,0.9678,0.9463,0.981
e5,l2,8,200,50,15.743,0.1234,0.988,0.9766,0.956,0.988
e5,l2,8,400,50,26.478,0.132,0.99,0.9786,0.9604,0.99
e5,l2,16,100,50,14.846,0.2245,1.0,0.9938,0.9836,1.0
e5,l2,16,200,50,26.784,0.236,1.0,0.9962,0.9874,1.0
e5,l2,16,400,50,46.043,0.2517,1.0,0.9962,0.9869,1.0
e5,l2,32,100,50,19.084,0.3175,0.999,0.9972,0.9919,0.999
e5,l2,32,200,50,37.223,0.5008,1.0,0.9976,0.9952,1.0
e5,l2,32,400,50,61.642,0.3992,1.0,0.9972,0.9947,1.0
